"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.208424040858571,-0.0337133144868836,0.0179210069808429
1,0.211760365930639,-0.0374575639271486,0.0233952716220700
2,0.215057048929873,-0.0417154532260566,0.0290177737688036
3,0.218174179593682,-0.046364158000514,0.0347267318004072
4,0.221064572181765,-0.0512620690631047,0.0404744582564367
5,0.223721570582753,-0.0562604028949114,0.0462111869756123
6,0.226153363706396,-0.0612228747818950,0.0518691297706776
7,0.228387068745912,-0.0660293554555351,0.057379837540272
8,0.230466389560269,-0.0705640130009122,0.0626770751431092
9,0.232427063202493,-0.0747222472357756,0.0677054234701527
10,0.234275968380282,-0.0784202931736216,0.0724257896286614
11,0.235995917580165,-0.0815849584508046,0.0768211758522189
12,0.237559161445045,-0.0841416718477876,0.0808923679884404
13,0.238919219671966,-0.0860282820320403,0.0846591716926108
14,0.240003006645443,-0.0872087814135665,0.08815708579221
15,0.240731783266906,-0.087663463343529,0.0914241645452662
16,0.241042025232345,-0.0873776396017583,0.0944949925306335
17,0.240880775181571,-0.0863531861804705,0.097403356064958
18,0.240198363783117,-0.0846167938749472,0.100177807289029
19,0.238963898702294,-0.0822048475062554,0.102834329293588
20,0.237177894571777,-0.079154177410518,0.105377605525253
21,0.234857817271955,-0.0755139006827522,0.107806441667471
22,0.232024728752407,-0.0713527759391611,0.110113988866309
23,0.228710564197012,-0.0667456359747718,0.112284839775825
24,0.224964798337415,-0.0617641137847467,0.114300206228779
25,0.220845534461677,-0.0564852985946337,0.116145410919898
26,0.216413255344256,-0.0509961195150634,0.117811128798731
27,0.211740791195254,-0.0453810978941109,0.119292249003197
28,0.206915552131245,-0.0397171816803827,0.120590217814192
29,0.202024833800594,-0.0340832119745466,0.121718413505199
30,0.197152061616356,-0.0285624052309182,0.122701120153366
31,0.192389746495315,-0.0232341632909986,0.123565610281552
32,0.187836991893784,-0.0181716237128791,0.124341319390180
33,0.183579405648896,-0.0134497861722198,0.125060807058245
34,0.179682570889087,-0.00914299394020476,0.125756939677065
35,0.176201886820411,-0.00531155874806822,0.126457497511719
36,0.173181675393223,-0.00200477647416573,0.127186554469872
37,0.170640567007663,0.000727395966343221,0.12796930314729
38,0.168576293704802,0.00283682618805413,0.128829024993091
39,0.166984773805869,0.00429509159517018,0.129782359027844
40,0.165863405483886,0.00509337353918162,0.130842542438052
41,0.165200894548567,0.00522995670293946,0.132020990436502
42,0.164980353774765,0.00471486029437501,0.133322708358795
43,0.165189317137298,0.00358157575699956,0.134740215782315
44,0.165807613356848,0.00188181354621603,0.136255066892372
45,0.166791671211124,-0.000322982662518378,0.137840245715715
46,0.168085123696939,-0.00295439775954984,0.139458187445172
47,0.169631686758361,-0.00590993409378453,0.141058650840192
48,0.171364246199294,-0.00907957773837843,0.142581020602788
49,0.173191344966895,-0.0123600572675123,0.143958315741609
50,0.175014755429412,-0.0156455422387364,0.145119803921822
51,0.176749151063460,-0.0188176808385695,0.145994251482762
52,0.178316840641691,-0.0217672202174064,0.146516656731286
53,0.179640979972903,-0.0244140449553752,0.146633421612481
54,0.180660612080647,-0.026697837769447,0.146303170766340
55,0.181341702458762,-0.0285637784697567,0.145496252912788
56,0.181661723216072,-0.0299800386734797,0.144198535831423
57,0.181592622289903,-0.0309493223119241,0.142411689332603
58,0.181113533477231,-0.031487392114655,0.140149906202718
59,0.180226068990167,-0.0316074574032721,0.137436401948320
60,0.178938589964586,-0.0313372719983806,0.134303408933452
61,0.177249144119344,-0.0307283062467038,0.130791637863517
62,0.175156383314107,-0.0298319369381097,0.126947320399754
63,0.172668980540800,-0.0286857598635772,0.122820307485264
64,0.169787522967149,-0.0273337120899861,0.118464636915581
65,0.166493777533898,-0.0258376283483533,0.113934574630899
66,0.162770136310791,-0.0242561257236817,0.109278634362135
67,0.158607075431072,-0.0226322952850431,0.104539112587161
68,0.153990777124552,-0.0210099605751121,0.0997526932196672
69,0.148913009486957,-0.0194375772539923,0.0949482889732492
70,0.143393562996225,-0.0179488610682335,0.090147634741478
71,0.137484118216509,-0.0165528641802851,0.0853649488822186
72,0.131251552136294,-0.0152541989469843,0.080609008717429
73,0.124776713904253,-0.0140692719757818,0.0758841219075918
74,0.118160299183591,-0.0130062793476299,0.0711975914868709
75,0.111514391191899,-0.0120539655876584,0.0665635306596051
76,0.104934459760255,-0.0112065031977537,0.0620023358484182
77,0.0984887285696293,-0.0104686526134397,0.0575375764228453
78,0.0922334614433004,-0.00983051753640512,0.053194003050101
79,0.0862122440695742,-0.00926774274902352,0.0489970390801642
80,0.0804366400080032,-0.00876424889271464,0.0449718561732339
81,0.074897885536409,-0.00831302210357689,0.0411415455016789
82,0.069595765221847,-0.00789491595071908,0.0375243784455275
83,0.0645391773375553,-0.00748557706503978,0.0341342192022793
84,0.0597200507716873,-0.00707866631608493,0.0309846283089843
85,0.0551121663328175,-0.00667944355085748,0.0280857162514467
86,0.0506936416322856,-0.00628026667202291,0.0254414800267518
87,0.0464480462940027,-0.00586698510769098,0.0230525156870968
88,0.0423479618980415,-0.00544135369014663,0.0209158713242937
89,0.0383655110666796,-0.00501660239438712,0.0190217262204416
90,0.0344928739545226,-0.00459304401747591,0.0173559107073159
91,0.0307355994147153,-0.00416591689705015,0.0159033498690336
92,0.0270889872057043,-0.00374614214872735,0.0146470654972207
93,0.0235449397861842,-0.00335252247170462,0.0135677513818100
94,0.0201117569467872,-0.00298792106420429,0.0126453505970178
95,0.0168089645260806,-0.00264900940027879,0.0118603335843754
96,0.0136503817912035,-0.0023456438934812,0.0111944843984452
97,0.0106560872302629,-0.00208895410269288,0.0106301294973127
98,0.00786562157257928,-0.00187012348701939,0.0101502776360431
99,0.00531949619857883,-0.00167584327854061,0.0097421798568864
100,0.0030343588171115,-0.00151000768309849,0.0093981523031889
