6.084	0.024	-0.017	-0.004	-0.012	0.009	-0.032	0.017	-0.013	0.004	-0.025	-0.018	5.018	5.023	5.013	5.021	5.015
6.04	0.023	-0.017	-0.005	-0.012	0.008	-0.033	0.017	-0.014	0.004	-0.025	-0.02	5.018	5.023	5.013	5.021	5.015
5.988	0.023	-0.018	-0.004	-0.013	0.006	-0.032	0.016	-0.014	0.003	-0.025	-0.02	5.018	5.023	5.013	5.021	5.014
5.929	0.022	-0.019	-0.005	-0.014	0.002	-0.034	0.016	-0.015	0.003	-0.025	-0.021	5.018	5.024	5.013	5.022	5.014
5.872	0.02	-0.02	-0.004	-0.015	0.001	-0.034	0.017	-0.015	0.003	-0.024	-0.02	5.018	5.023	5.013	5.021	5.013
5.818	0.021	-0.02	-0.003	-0.014	0.003	-0.034	0.017	-0.015	0.002	-0.024	-0.02	5.018	5.023	5.013	5.022	5.013
5.76	0.021	-0.02	-0.004	-0.013	0.004	-0.034	0.017	-0.018	0.003	-0.024	-0.019	5.018	5.023	5.013	5.022	5.014
5.692	0.021	-0.02	-0.004	-0.014	0.003	-0.035	0.016	-0.015	0.002	-0.023	-0.02	5.018	5.023	5.012	5.021	5.013
5.618	0.023	-0.019	-0.003	-0.014	0.003	-0.034	0.017	-0.015	0.003	-0.024	-0.02	5.018	5.023	5.012	5.021	5.012
5.521	0.023	-0.019	-0.004	-0.014	0.005	-0.034	0.017	-0.015	0.003	-0.025	-0.02	5.018	5.023	5.013	5.021	5.012
5.441	0.023	-0.018	-0.003	-0.013	0.007	-0.033	0.018	-0.013	0.005	-0.024	-0.018	5.018	5.023	5.013	5.021	5.011
5.347	0.024	-0.017	-0.002	-0.013	0.009	-0.032	0.018	-0.011	0.005	-0.023	-0.016	5.019	5.024	5.013	5.022	5.01
5.247	0.024	-0.016	0	-0.013	0.012	-0.031	0.02	-0.01	0.006	-0.021	-0.012	5.018	5.024	5.013	5.022	5.01
5.17	0.026	-0.016	0.002	-0.013	0.016	-0.031	0.021	-0.009	0.009	-0.019	-0.008	5.018	5.023	5.014	5.022	5.009
5.074	0.027	-0.013	0.005	-0.011	0.024	-0.031	0.023	-0.005	0.011	-0.017	-0.005	5.018	5.023	5.013	5.022	5.009
4.99	0.027	-0.012	0.005	-0.011	0.028	-0.03	0.023	-0.002	0.012	-0.016	-0.002	5.019	5.023	5.013	5.023	5.009
4.911	0.028	-0.011	0.008	-0.011	0.033	-0.028	0.026	0.001	0.013	-0.015	0	5.018	5.023	5.013	5.022	5.008
4.82	0.027	-0.009	0.01	-0.01	0.035	-0.027	0.027	0.002	0.014	-0.013	0.003	5.019	5.023	5.013	5.023	5.007
4.734	0.028	-0.007	0.011	-0.01	0.036	-0.024	0.027	0.004	0.016	-0.013	0.006	5.018	5.023	5.013	5.022	5.006
4.637	0.028	-0.007	0.012	-0.01	0.038	-0.025	0.029	0.006	0.018	-0.01	0.009	5.018	5.023	5.013	5.022	5.006
4.546	0.028	-0.008	0.013	-0.01	0.038	-0.024	0.029	0.006	0.017	-0.009	0.008	5.018	5.023	5.013	5.022	5.005
4.449	0.028	-0.008	0.015	-0.01	0.037	-0.025	0.029	0.006	0.016	-0.009	0.01	5.018	5.023	5.013	5.022	5.005
4.334	0.027	-0.007	0.016	-0.012	0.037	-0.026	0.028	0.003	0.014	-0.008	0.006	5.018	5.023	5.012	5.021	5.004
4.217	0.025	-0.009	0.016	-0.014	0.031	-0.027	0.026	0	0.011	-0.008	0.005	5.018	5.023	5.012	5.021	5.003
4.117	0.022	-0.012	0.015	-0.018	0.018	-0.031	0.023	-0.006	0.006	-0.01	-0.002	5.018	5.023	5.012	5.02	5.001
4.001	0.018	-0.016	0.014	-0.021	0.005	-0.033	0.018	-0.013	0	-0.011	-0.01	5.018	5.022	5.011	5.02	5
3.932	0.014	-0.02	0.011	-0.024	-0.007	-0.038	0.014	-0.021	-0.006	-0.013	-0.018	5.018	5.022	5.011	5.02	4.999
3.875	0.011	-0.024	0.009	-0.027	-0.022	-0.041	0.011	-0.029	-0.01	-0.015	-0.023	5.018	5.022	5.011	5.019	4.998
3.82	0.007	-0.027	0.008	-0.029	-0.029	-0.043	0.01	-0.032	-0.013	-0.016	-0.027	5.018	5.022	5.011	5.02	4.997
3.781	0.005	-0.028	0.008	-0.03	-0.034	-0.044	0.008	-0.035	-0.015	-0.016	-0.029	5.018	5.023	5.012	5.02	4.998
3.746	0.006	-0.03	0.008	-0.031	-0.035	-0.045	0.007	-0.036	-0.015	-0.015	-0.027	5.018	5.022	5.012	5.02	4.997
3.709	0.005	-0.029	0.009	-0.031	-0.032	-0.045	0.006	-0.035	-0.015	-0.015	-0.028	5.018	5.021	5.012	5.02	4.997
3.686	0.005	-0.028	0.011	-0.032	-0.031	-0.045	0.007	-0.035	-0.015	-0.014	-0.029	5.018	5.022	5.012	5.02	4.996
3.664	0.007	-0.026	0.012	-0.031	-0.028	-0.043	0.008	-0.033	-0.014	-0.014	-0.027	5.018	5.022	5.013	5.021	4.997
3.652	0.006	-0.024	0.014	-0.03	-0.023	-0.044	0.007	-0.036	-0.014	-0.013	-0.024	5.018	5.022	5.012	5.021	4.996
3.644	0.007	-0.022	0.016	-0.031	-0.017	-0.044	0.008	-0.033	-0.011	-0.012	-0.022	5.018	5.023	5.012	5.021	4.997
3.62	0.006	-0.019	0.017	-0.03	-0.013	-0.042	0.009	-0.031	-0.01	-0.011	-0.019	5.018	5.023	5.013	5.021	4.997
3.624	0.007	-0.018	0.021	-0.031	-0.011	-0.041	0.01	-0.03	-0.008	-0.009	-0.014	5.019	5.023	5.013	5.022	4.997
3.627	0.007	-0.016	0.022	-0.028	-0.005	-0.04	0.012	-0.024	-0.006	-0.007	-0.011	5.018	5.023	5.013	5.022	4.997
3.651	0.006	-0.014	0.024	-0.029	-0.001	-0.038	0.013	-0.022	-0.005	-0.006	-0.008	5.018	5.023	5.013	5.022	4.998
3.679	0.007	-0.014	0.026	-0.028	0.002	-0.037	0.014	-0.02	-0.004	-0.005	-0.007	5.018	5.023	5.013	5.022	4.998
3.7	0.008	-0.014	0.025	-0.027	0.005	-0.035	0.016	-0.017	-0.003	-0.005	-0.006	5.018	5.023	5.013	5.022	4.998
3.733	0.01	-0.012	0.027	-0.026	0.007	-0.036	0.017	-0.016	-0.003	-0.006	-0.006	5.018	5.023	5.013	5.022	4.998
3.778	0.009	-0.012	0.027	-0.025	0.008	-0.036	0.02	-0.015	-0.003	-0.006	-0.007	5.018	5.023	5.013	5.022	4.998
3.829	0.009	-0.012	0.027	-0.025	0.01	-0.034	0.019	-0.014	-0.003	-0.007	-0.007	5.018	5.023	5.013	5.022	4.998
3.89	0.01	-0.013	0.027	-0.025	0.012	-0.035	0.019	-0.013	-0.002	-0.006	-0.008	5.018	5.024	5.013	5.022	4.999
3.947	0.01	-0.013	0.028	-0.025	0.012	-0.034	0.019	-0.013	-0.003	-0.005	-0.007	5.018	5.023	5.013	5.021	4.999
3.999	0.01	-0.013	0.028	-0.024	0.013	-0.033	0.02	-0.011	-0.003	-0.004	-0.006	5.018	5.023	5.013	5.022	4.999
